user_id,username,message,date,likes,retweets,hashtags
1,user_1,Check out my new blog post!,2024-02-06 06:19:29.721651,207.0,149,
7,user_7,Check out my new blog post!,2023-11-05 06:19:29.721653,444.0,57,#sunnyday #fun
9,user_9,Running my first marathon next week #fitness,2024-03-23 06:19:29.721654,168.0,179,#sunnyday #fun
1,user_1,,2024-07-04 06:19:29.721655,483.0,169,#peace
12,user_12,Exploring new places #travel,2024-03-20 06:19:29.721657,160.0,270,#TGIF
8,user_8,Just completed a 5k run! #fitness,2024-03-28 06:19:29.721658,67.0,53,#foodie
11,user_11,Can't wait for the weekend #TGIF,2024-06-10 06:19:29.721659,288.0,100,#fitness
19,user_19,Check out my latest code snippet #coding,2023-10-18 06:19:29.721660,397.0,263,
17,user_17,Found this cute café #coffee,2024-05-12 06:19:29.721662,276.0,52,#TGIF
8,user_8,Just completed a 5k run! #fitness,2023-10-02 06:19:29.721663,303.0,59,#sunnyday #fun
3,user_3,Having a great time with friends #goodvibes,2023-10-12 06:19:29.721664,403.0,107,#sunnyday #fun
3,user_3,Can't stop coding #python,2023-10-30 06:19:29.721666,383.0,4,#developerlife
1,user_1,Loving this weather #sunnyday,2024-08-20 06:19:29.721667,,102,#travel
5,user_5,,2023-11-19 06:19:29.721668,134.0,195,#foodie
10,user_10,Check out my latest code snippet #coding,2023-11-05 06:19:29.721670,194.0,261,
7,user_7,Had an amazing workout today #fitness,2024-06-30 06:19:29.721671,400.0,46,#peace
9,user_9,Had an amazing workout today #fitness,2023-12-27 06:19:29.721672,127.0,143,#peace
7,user_7,Check out my new blog post!,2024-05-23 06:19:29.721673,32.0,268,
9,user_9,Learning new coding skills #python,2024-07-04 06:19:29.721675,175.0,123,#coding #python
8,user_8,Just completed a 5k run! #fitness,2024-02-02 06:19:29.721676,459.0,105,#peace
12,user_12,Had an amazing workout today #fitness,2024-03-15 06:19:29.721677,442.0,157,#TGIF
2,user_2,Python is amazing! #coding #python,2024-05-10 06:19:29.721679,370.0,146,#coding #python
1,user_1,Can't stop coding #python,2023-11-03 06:19:29.721680,469.0,144,#TGIF
16,user_16,Can't wait for the weekend #TGIF,2023-10-09 06:19:29.721681,374.0,119,#game
5,user_5,Running my first marathon next week #fitness,2023-12-15 06:19:29.721682,21.0,274,#sunnyday #fun
3,user_3,Python is amazing! #coding #python,2024-06-05 06:19:29.721684,237.0,91,#travel
12,user_12,Running my first marathon next week #fitness,2023-10-11 06:19:29.721685,157.0,57,#developerlife
8,user_8,Can't stop coding #python,2024-04-12 06:19:29.721686,37.0,228,#peace
